,Cultivar,Neighborhood,Location,Blooming,Longitude,Latitude,id,Description,ForumLink,PicLink,Favorate,Start,End
2070,Shirotae,West Point Grey,Highbury between 6th and 7th,04/04-04/14,-123.187424,49.26646,1303,Four 'Shirotae' on Highbury south of 6th. There are later blooming 'Kanzan' across the street.,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=193772&postcount=8,http://farm4.static.flickr.com/3561/3325254868_b81490d25f_o.jpg;http://farm4.static.flickr.com/3556/3325254950_91e3979e6b_o.jpg,1,04/04,04/14
2071,Shirotae,Fairview,10th and Heather 5 trees,04/04-04/14,-123.12016,49.26252,1439,"The ""unassuming little park"" on the NW corner of West 10th & Heather.Two Shirotae mark the start of a short footpath that leads to three trees virtually hidden at the other end. A lovely sanctuary. ",http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=195451&postcount=42,http://www.ubcbotanicalgarden.org/forums/attachment.php?attachmentid=37664&d=1208153225; http://www.ubcbotanicalgarden.org/forums/attachment.php?attachmentid=37665&d=1208153301,1,04/04,04/14
2072,Shirotae,Renfrew-Collingwood,Vanness Ave at Melbourne Park,04/04-04/14,-123.029108,49.236403,1460,"Three 'Shirotae', one 'Tai Haku', along with  about twenty 'Akebono'",http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=135843&postcount=4,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=38092&d=1208482392,0,04/04,04/14
2073,Shirotae,Strathcona,"Campbell at Keefer, e side 2 trees",04/04-04/14,-123.08471,49.27931,1468,Two 'Shirotae' on east side of Campbell Ave. at Keefer,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=133731&postcount=3,http://www.ubcbotanicalgarden.org/forums/attachment.php?attachmentid=36816&d=1207621567; http://www.ubcbotanicalgarden.org/forums/attachment.php?attachmentid=36814&d=1207621530,0,04/04,04/14
2074,Shirotae,UBC,16th w of Blanca on median,04/04-04/14,-123.21933711639406,49.25854631613634,1474,Several trees on the median and north side of 16th approaching UBC ,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=163806&postcount=26,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=47303&d=1220727563,0,04/04,04/14
2075,Shirotae,West End / Stanley Park,"Burrard and Smythe, Sutton Place Hotel 6 trees",04/02-04/12,-123.12425,49.2826,1482,"West End / Stanley Park - om front of the hotel, five ;Shirotae;, and one ;Ukon; planted with them that appears to be a mistake",http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=273051&postcount=203,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=89904&d=1302918928,0,04/02,04/12
2076,Shirotae,Richmond,Bay parking lot 8 trees,04/04-04/14,-123.14553,49.16037,1509,"At the Bay parking side, there are eight young 'Shirotae'",http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=194499&postcount=17,http://www.ubcbotanicalgarden.org/forums/attachment.php?attachmentid=57818&d=1240359079,0,04/04,04/14
2077,Shirotae,Richmond,"Dorchester Circle, 729x Moffatt Road ",04/04-04/14,-123.1457,49.16023,1510,About a dozen 'Shirotae'in Dorchester Circle on 729x Moffatt Road,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=193414&postcount=17,http://www.ubcbotanicalgarden.org/forums/attachment.php?attachmentid=57068&d=1239861126; http://www.ubcbotanicalgarden.org/forums/attachment.php?attachmentid=57069&d=1239861126,0,04/04,04/14
2078,Shirotae,Richmond,"Minoru Blvd, across from Richmond Ctr ",04/04-04/14,-123.13885,49.16966,1511,"About 12 'Shirotae' at a Minoru Residence, on Minoru Blvd. right cross the street from Richmond Center.",http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=194499&postcount=17,http://www.ubcbotanicalgarden.org/forums/attachment.php?attachmentid=57820&d=1240359079; http://www.ubcbotanicalgarden.org/forums/attachment.php?attachmentid=57819&d=1240359079,0,04/04,04/14
2079,Shirotae,Renfrew-Collingwood,Nanaimo and 37th,04/04-04/14,-123.05861,49.2369,1634,Four 'Shirotae' on the street and south side of Cunningham Elementary on Nanaimo at 37th,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=250128&postcount=36,http://www.ubcbotanicalgarden.org/forums/attachment.php?attachmentid=79005,1,04/04,04/14
2080,Shirotae,Fairview,Shorepine Walk at Seawall,04/04-04/14,-123.13358,49.26758,1696,'Shirotae' surround the garden at Twin Rainbows Housing Co-op at Shorepine Walk at the False Creek Seawall.,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=273054&postcount=73,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=89915,0,04/04,04/14
2081,Shirotae,North Vancouver,Esplanade and Rogers Ave,03/31-04/10,-123.08141,49.31171,1698,'Shirotae' planted along Esplanade north of the ICBC building; there are others around the building,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=273043&postcount=8,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=89878,1,03/31,04/10
2082,Shirotae,Kensington-Cedar Cottage,10th and Clark,04/04-04/14,-123.07663,49.26159,1699,"Four 'Shirotae' in the playground yard of Queen Alexandra Elementary, NE corner E. 10 and Clark",http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=273085&postcount=178,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=89942,1,04/04,04/14
2083,Shirotae,Richmond,Minoru Park,04/04-04/14,-123.1453,49.16753,1719,In front of the chapel,,,0,04/04,04/14
2084,Shirotae,Fairview,Willow at Broadway,04/04-04/14,-123.12192,49.26356,1820,One tree on west side of Willow north of Broadway,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=195091&postcount=38,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=58239,0,04/04,04/14
2085,Shirotae,Kitsilano,7th and Vine,04/04-04/14,-123.15799,49.26578,1821,Several 'Shirotae' on 7th at Vine (Kits House) ,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=273075&postcount=89,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=89931,0,04/04,04/14
2086,Shirotae,Renfrew-Collingwood,Grandview Hwy and Renfrew,04/04-04/14,-123.04466,49.25834,1822,One tree in parking area at NW corner of Grandview Hwy and Renfrew,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=192958&postcount=16,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=56781,0,04/04,04/14
2087,Shirotae,Riley Park,"QE Park, 37th near Alberta",04/04-04/14,-123.11349,49.23725,1823,"Young trees in QE park, just off 37th near Alberta",http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=196016&postcount=43,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=58747,0,04/04,04/14
2088,Shirotae,West End / Stanley Park,Foot of Comox at Stanley Park,04/02-04/12,-123.14398,49.29156,1826,One big old 'Shirotae' just at the edge of Stanley Park at Comox,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=272856&postcount=202,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=89729,0,04/02,04/12
2089,Shirotae,West End / Stanley Park,Chilco mini-park at Comox,04/02-04/12,-123.14234,49.29073,1827,"One 'Shirotae' among many mini-park 'Accolade' in front of an apartment building, near the lane",http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=272837&postcount=193,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=89704,0,04/02,04/12
2090,Shirotae,West End / Stanley Park,Foot of Comox,04/02-04/12,-123.1434,49.29139,1828,"'Shirotae' in yard of last building before the park, north side, three or four trees",http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=249724&postcount=150,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=78629,0,04/02,04/12
2091,Shirotae,West End / Stanley Park,Denman at Community Centre,04/02-04/12,-123.13603,49.28979,1829,One nice tree on side of the West End Community Centre between Barclay and Haro on Denman,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=272562&postcount=187,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=89478,0,04/02,04/12
2092,Shirotae,West End / Stanley Park,Comox at Jervis,04/02-04/12,-123.13255,49.28392,1830,Two nice 'Shirotae' on the south side of Comox just east of Jervis,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=248585&postcount=142,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=77632,0,04/02,04/12
2093,Shirotae,Burnaby,Hastings and Kensington,04/04-04/14,-122.97024,49.28059,1831,Three trees on the NW corner of Hastings and Kensington,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=273630&postcount=46,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=90479,1,04/04,04/14
2094,Shirotae,Burnaby,Kincaid and Godwin,04/04-04/14,-122.97738,49.24823,1832,"Two trees on Kincaid near Godwin, at the Chelsea Terrace Seniors Residence",http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=250498&postcount=26,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=79215,0,04/04,04/14
2095,Shirotae,Burnaby,Norfolk and Gilmore,04/04-04/14,-123.01295,49.25536,1833,"Above Gilmore Diversion, on Norfolk at Gilmore Ave, are four 'Shirotae' along the block, two large, and two smaller",http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=250498&postcount=26,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=79218,0,04/04,04/14
2096,Shirotae,Dunbar-Southlands,26th and Highbury,04/04-04/14,-123.1882,49.24908,1834,One tree on the NW corner,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=273162&postcount=47,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=90022,0,04/04,04/14
2097,Shirotae,Dunbar-Southlands,37th and Wallace,04/04-04/14,-123.1911,49.23872,1835,One large tree in a yard on the NW corner,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=273161&postcount=46,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=90010,0,04/04,04/14
2098,Shirotae,Grandview-Woodland,Wall St south of Eton,04/04-04/14,-123.06116,49.28729,1836,One private tree on the west side of Wall St,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=281552&postcount=43,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=94545,0,04/04,04/14
2100,Shirotae,Marpole,59th and Rockpoole,04/04-04/14,-123.11092,49.21658,1838,Aa few 'Shirotae' with several other cultivars on the circle off Rockpoole Dr at The Springs at Langara.,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=272056&postcount=70,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=89168,0,04/04,04/14
2101,Shirotae,Marpole,Adera at 65th,04/04-04/14,-123.14365,49.21215,1839,One nice low 'Shirotae' on the west side of Adera north of 65th,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=135072&postcount=31,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=37679,0,04/04,04/14
2102,Shirotae,Oakridge,Alberta and 49th,04/04-04/14,-123.11374,49.22512,1840,"One lone 'Shirotae' at the back of the grounds of South Van Manor on west side of Alberta Street, between W. 49 and W. 50",http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=250295&postcount=25,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=79096,0,04/04,04/14
2103,Shirotae,New Westminster,"Queen's Park, Vancouver St",04/04-04/14,-122.90175,49.21127,1841,One nice 'Shirotae' at the south end of Queen's Park off Vancouver St (on the map) or called Granville St on the sign,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=274096&postcount=10,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=90682,0,04/04,04/14
2104,Shirotae,New Westminster,8th St and Royal,04/04-04/14,-122.91342,49.20301,1842,"One 'Shirotae' on 8th south of Royal, in front of Douglas College.",http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=273147&postcount=9,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=89980,0,04/04,04/14
2105,Shirotae,Victoria-Fraserview,Elliott and 53rd,04/04-04/14,-123.0551,49.22088,1843,"One shapely 'Shirotae' (and several 'Tai Haku') on the grounds of Sir Charles Kingsford-Smith Elementary. The 'Shirotae' is at the east side, on Elliott, south of 53rd.",http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=273810&postcount=32,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=90573,0,04/04,04/14
2106,Shirotae,White Rock / South Surrey,Path Sypress to Marine Dr,03/30-04/09,-122.79608,49.0189,2032,Path Cypress to Marine Dr.(to Indian totems) 'Shirotae' in bloom.,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=291393&postcount=64,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=99459&d=1333672195,0,03/30,04/09
2107,Shirotae,White Rock / South Surrey,Best St and 16 Ave,03/30-04/09,-122.79595,49.03092,2044,Three 'Shirotae' trees at intersection of Best St and 16 Ave,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=291646&postcount=84,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=99767&d=1334028924,0,03/30,04/09
2108,Shirotae,White Rock / South Surrey,Russell Ave and Foster,03/30-04/09,-122.80324,49.02948,2052,"Russell Ave and Foster St, 'Shirotae' on the North side and 2 'Akebono' at South side of the street  ",http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=291732&postcount=95,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=99911&d=1334122610,0,03/30,04/09
2109,Shirotae,White Rock / South Surrey, 148Str ,03/30-04/09,-122.81116,49.04535,2053,Jehovah's Witnesses  parking at 148St and 24 Ave ,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=291774&postcount=100,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=99961&d=1334168305,0,03/30,04/09
2110,Shirotae,White Rock / South Surrey,48 St and 28 Ave,03/30-04/09,-122.81178,49.05311,2077,"'Shirotae'. From 148 St and 28 Ave, three trees",http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=291948&postcount=115,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=100160&d=1334357625,0,03/30,04/09
2111,Shirotae,White Rock / South Surrey, 141 St south from 28 Ave.,03/30-04/09,-122.83103,49.05234,2080,At least 24 'Shirotae' trees on both sides of 141 St south from 28 Ave.,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=292538&postcount=147,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=100854&d=1334970892,1,03/30,04/09
2112,Shirotae,West End / Stanley Park,Georgia at Denman,04/02-04/12,-123.13427,49.29269,2087,Three 'Shirotae' on private property on the south side of Georgia west of Denmanhttp://www.botanicalgarden.ubc.ca/forums/showpost.php?p=292119,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=292119,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=100372,0,04/02,04/12
2113,Shirotae,North Vancouver,Waterfront Park,03/31-04/10,-123.08472,49.31206,2094,'Shirotae' cherry tree located at eastern entrance to Waterfront Park with panoramic views of the Vancouver skyline.,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=292375&postcount=41,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=100589,0,03/31,04/10
2114,Shirotae,North Vancouver,W 15th St at Mahon,03/31-04/10,-123.07902,49.32234,2107,2 large 'Shirotae' white double petal cherry trees located on the NW corner of W. 15th at Mahon.,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=292459&postcount=48,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=100715,0,03/31,04/10
2115,Shirotae,North Vancouver,175 E 2nd corner of St Georges,03/31-04/10,-123.07477,49.31148,2122,"A trio of trees in bloom, white 'Shirotae' on the left, pink 'Kanzan' in the middle and yellow 'Ukon' on the right.",http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=292806&postcount=56,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=101147,0,03/31,04/10
2116,Shirotae,White Rock / South Surrey,26 Ave west from 152 St,03/30-04/09,-122.8029,49.04906,2128,4 'Shirotae' trees on 26 Ave toward 152 St,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=292540&postcount=148,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=100859&d=1334972395,0,03/30,04/09
2117,Shirotae,White Rock / South Surrey,151Str between  26 and 27 Ave,03/30-04/09,-122.80393,49.0509,2129,4 'Shirotae' trees on 151 St between  26and 27Ave,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=292540&postcount=148,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=100858&d=1334972395,0,03/30,04/09
2118,Shirotae,North Vancouver,Jack Loucks Park,03/31-04/10,-123.08068,49.31295,2153,"2 white blossom 'Shirotae' trees bloom just across the wooden bridge. They bloom after the 'Akebono"" alaso at this location.Jack Loucks Park 100 block West 1st Street.",http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=292066&postcount=37,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=100306,0,03/31,04/10
2119,Shirotae,White Rock / South Surrey,Amble Greene Dr  from 16 Ave,03/30-04/09,-122.85854,49.03245,2158,"Amble Greene Dr  from 16Ave, 'Shirotae' on west side, another two 'Shirotae' trees along this street ",http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=293100&postcount=179,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=101423&d=1335657413,0,03/30,04/09
2120,Shirotae,White Rock / South Surrey,17 Ave east from 154 St ,03/30-04/09,-122.79485,49.03283,2170,2 'Shirotae' cherries in full bloom at 17 Ave east from 154 St ,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=293298&postcount=192,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=101691&d=1335831801,0,03/30,04/09
2121,Shirotae,White Rock / South Surrey,28 Ave west from 140 St,03/30-04/09,-122.83646,49.05298,2185,'Shirotae' on 28 Ave west from 140 St,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=293417&postcount=207,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=101802&d=1335931918,0,03/30,04/09
2122,Shirotae,Kitsilano,1st and Cypress,04/04-04/14,-123.14847,49.27081,2260,One private 'Shirotae' on 1st west of Cypress.  ,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=309222,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=110404,0,04/04,04/14
2123,Shirotae,Kitsilano,3rd and Maple,04/04-04/14,-123.15072,49.26909,2261,Two private 'Shirotae' on 3rd west of Maple.,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=309222,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=110410,0,04/04,04/14
2124,Shirotae,Sunset,E61 Prince Edward,04/04-04/14,-123.09758,49.2148,2273,One nice 'Shirotae' on Prince Edward at 61st. This block has several 'Afterglow' and some 'Akebono'.,http://forums.botanicalgarden.ubc.ca/forums/showpost.php?p=309343,http://forums.botanicalgarden.ubc.ca/forums/attachment.php?attachmentid=110579,0,04/04,04/14
